#options: 2160x3840 fps=60000/1001 timebase=1001/60000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=8000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:35.87 aq:32.20 tex:2733799 mv:1027322 misc:71 imb:32400 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:38.24 aq:35.40 tex:24505 mv:19508 misc:15227 imb:28 pmb:3070 smb:29302 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:38.39 aq:35.75 tex:31011 mv:30422 misc:18815 imb:38 pmb:4284 smb:28078 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:38.50 aq:36.02 tex:31937 mv:34249 misc:20246 imb:63 pmb:4729 smb:27608 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:38.60 aq:35.93 tex:41991 mv:36846 misc:21403 imb:86 pmb:5174 smb:27140 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:38.72 aq:35.80 tex:42586 mv:38107 misc:22147 imb:98 pmb:5389 smb:26913 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:38.87 aq:36.29 tex:44046 mv:39725 misc:22293 imb:90 pmb:5451 smb:26859 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:38.99 aq:36.12 tex:54386 mv:37621 misc:21825 imb:88 pmb:5603 smb:26709 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:39.10 aq:36.36 tex:70622 mv:42164 misc:23782 imb:146 pmb:6244 smb:26010 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:39.20 aq:36.24 tex:63185 mv:49001 misc:26030 imb:174 pmb:6981 smb:25245 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:39.32 aq:36.33 tex:59512 mv:49110 misc:26082 imb:159 pmb:7022 smb:25219 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:39.43 aq:36.61 tex:44605 mv:49744 misc:26483 imb:177 pmb:6774 smb:25449 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:47.43 aq:46.58 tex:326 mv:432 misc:554 imb:10 pmb:36 smb:32354 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:55.43 aq:51.00 tex:341 mv:543 misc:812 imb:12 pmb:51 smb:32337 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:56.29 aq:51.00 tex:583 mv:1136 misc:1449 imb:14 pmb:112 smb:32274 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:54.44 aq:51.00 tex:765 mv:2275 misc:2304 imb:12 pmb:255 smb:32133 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:52.97 aq:50.92 tex:1662 mv:5976 misc:4994 imb:53 pmb:660 smb:31687 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:51.71 aq:48.90 tex:2019 mv:9004 misc:7009 imb:75 pmb:826 smb:31499 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:50.66 aq:48.80 tex:3664 mv:19777 misc:11959 imb:125 pmb:1797 smb:30478 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:49.77 aq:47.29 tex:5501 mv:29964 misc:16103 imb:124 pmb:2830 smb:29446 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:49.06 aq:46.53 tex:5866 mv:25654 misc:14904 imb:145 pmb:2412 smb:29843 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:48.40 aq:45.44 tex:8336 mv:35762 misc:17846 imb:190 pmb:3232 smb:28978 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:47.82 aq:44.81 tex:9578 mv:30767 misc:16935 imb:244 pmb:2863 smb:29293 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:47.27 aq:44.40 tex:11445 mv:34561 misc:18106 imb:318 pmb:3139 smb:28943 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:46.53 aq:43.57 tex:20619 mv:45141 misc:21776 imb:463 pmb:4255 smb:27682 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:45.92 aq:42.61 tex:20268 mv:39047 misc:20093 imb:503 pmb:3541 smb:28356 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:45.38 aq:42.12 tex:27084 mv:48533 misc:22511 imb:564 pmb:4541 smb:27295 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:44.90 aq:41.53 tex:28243 mv:47048 misc:22733 imb:607 pmb:4528 smb:27265 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:44.51 aq:41.31 tex:31204 mv:46570 misc:23130 imb:591 pmb:4712 smb:27097 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:44.19 aq:40.55 tex:33900 mv:50522 misc:24258 imb:661 pmb:5096 smb:26643 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:44.02 aq:40.72 tex:31569 mv:41565 misc:21962 imb:480 pmb:4485 smb:27435 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:43.95 aq:40.69 tex:25700 mv:37468 misc:20936 imb:387 pmb:4120 smb:27893 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:43.82 aq:40.44 tex:30673 mv:37476 misc:21435 imb:401 pmb:4274 smb:27725 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:43.76 aq:40.26 tex:30875 mv:45979 misc:23938 imb:495 pmb:5155 smb:26750 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:43.67 aq:40.43 tex:28732 mv:38217 misc:21443 imb:337 pmb:4359 smb:27704 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:43.59 aq:40.28 tex:29567 mv:41538 misc:22727 imb:418 pmb:4860 smb:27122 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:43.59 aq:40.34 tex:30785 mv:36591 misc:20944 imb:274 pmb:4437 smb:27689 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:43.54 aq:40.06 tex:28164 mv:41360 misc:22996 imb:397 pmb:4846 smb:27157 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:43.54 aq:40.05 tex:32929 mv:45382 misc:23689 imb:343 pmb:5316 smb:26741 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:43.53 aq:40.05 tex:32479 mv:44908 misc:23725 imb:398 pmb:5270 smb:26732 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:43.50 aq:40.11 tex:38930 mv:45779 misc:24379 imb:393 pmb:5597 smb:26410 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:43.49 aq:39.81 tex:25007 mv:25253 misc:17532 imb:302 pmb:3045 smb:29053 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:43.42 aq:40.08 tex:31082 mv:37866 misc:22116 imb:328 pmb:4708 smb:27364 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:43.33 aq:39.86 tex:31622 mv:38856 misc:22554 imb:304 pmb:4892 smb:27204 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:43.25 aq:39.92 tex:37122 mv:35706 misc:21772 imb:293 pmb:4716 smb:27391 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:43.21 aq:39.58 tex:34357 mv:35357 misc:21470 imb:360 pmb:4407 smb:27633 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:43.14 aq:39.69 tex:36927 mv:36765 misc:21812 imb:331 pmb:4763 smb:27306 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:43.08 aq:39.53 tex:36768 mv:44667 misc:24613 imb:379 pmb:5669 smb:26352 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:43.00 aq:39.52 tex:44358 mv:40292 misc:23414 imb:365 pmb:5398 smb:26637 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:42.94 aq:39.15 tex:38346 mv:36202 misc:22060 imb:456 pmb:4564 smb:27380 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:42.90 aq:39.47 tex:24788 mv:17362 misc:14114 imb:170 pmb:2442 smb:29788 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:42.85 aq:39.38 tex:36093 mv:34862 misc:21253 imb:247 pmb:4754 smb:27399 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:42.83 aq:39.53 tex:37620 mv:26980 misc:18840 imb:233 pmb:3928 smb:28239 d:- ref:0 ;
